denumire client,numar factura,total,rest plata,zona / agent
OLIDAN TRANS SRL HATEG,DMEG 8963,2037.99,2037.99,Hunedoara
PE ROTI BUNE SRL ALBA IULIA,DMEG 6812,2373.43,1703.6,Alba
PE ROTI BUNE SRL ALBA IULIA,DMEG 7224,2372.73,2372.73,Alba
PE ROTI BUNE SRL ALBA IULIA,DMEG 7245,216,216,Alba
PE ROTI BUNE SRL ALBA IULIA,DMEG 7669,251.63,251.63,Alba
PIESE AUTO CALIN SRL VALISOARA,DMEG 8923,448.44,448.44,Alba
PIPPO UTILITY SRL HATEG,DMEG 8893,905.46,905.46,Hunedoara
POSSIM QUALITY SRL SEBES,DMEG 8918,522.57,522.57,Alba
POSTEIU SERVICE SRL CUGIR,DMEG 8952,924.1,924.1,Hunedoara
PROSERVICE AUTOMOBILE SRL HUNEDOARA,DMEG 7135,3762.77,825.34,Hunedoara
PROSERVICE AUTOMOBILE SRL HUNEDOARA,DMEG 7176,2087.52,2087.52,Hunedoara
PROSERVICE AUTOMOBILE SRL HUNEDOARA,DMEG 7374,267.1,267.1,Hunedoara
PROSERVICE AUTOMOBILE SRL HUNEDOARA,DMEG 7758,4118.02,4118.02,Hunedoara
PROSPER APUSENI SRL ROSIA MONTANA,DMEG 8615,5017.98,5017.98,Alba
PROSPER APUSENI SRL ROSIA MONTANA,DMEG 8656,9692.13,9692.13,Alba
R & D AUTOTURISMUL SRL OCNA MURES,DMEG 8854,627.24,627.24,Alba
R & D AUTOTURISMUL SRL OCNA MURES,DMEG 8887,401.12,401.12,Alba
R & D AUTOTURISMUL SRL OCNA MURES,DMEG 8931,508,508,Alba
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 1863,36000,16800,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3308,1072.2,594.21,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3314,416.84,416.84,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3342,729.12,729.12,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3436,356.73,356.73,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3545,651.4,651.4,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3588,764.3,764.3,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3625,729.12,729.12,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3629,216.35,216.35,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3881,597.2,597.2,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 3911,5600.79,5600.79,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 4565,652.3,652.3,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 4623,2042.43,2042.43,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 4732,870.5,870.5,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 4736,1009.8,1009.8,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 4879,870.5,870.5,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 4945,596.72,596.72,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 6737,736.72,736.72,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 6994,716.1,716.1,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 7132,564.66,564.66,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEG 7471,651.3,651.3,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEGB 59,898.02,898.02,Hunedoara
RALUKA PERFORMANCE S.R.L. SAT DOBRA  DOBRA,DMEGB 60,898.02,898.02,Hunedoara
RARA WERKSTATT S.R.L. ALBA IULIA,DMEG 6813,13080.39,3528.34,Alba
RAV AUTO BEST S.R.L. DEVA,DMEG 7750,358.62,358.62,Hunedoara
RAVAUTOGRUP SRL HARAU,DMEG 8211,748.1,248.1,Hunedoara
RAVAUTOGRUP SRL HARAU,DMEG 8580,432.76,432.76,Hunedoara
REAL DOC FOREST SRL AIUD,DMEG 8283,578.61,578.61,Alba
REAL DOC FOREST SRL AIUD,DMEG 8288,6604.2,6604.2,Alba
REAL DOC FOREST SRL AIUD,DMEG 8382,535.8,535.8,Alba
REAL DOC FOREST SRL AIUD,DMEG 8402,6604.2,6604.2,Alba
REAL DOC FOREST SRL AIUD,DMEG 8729,2201.4,2201.4,Alba
REAL DOC FOREST SRL AIUD,DMEGB 91,1135.75,1135.75,Alba
REPARATII ANDY & ANDREEA SRL HATEG,DMEG 8042,8680.93,5694.93,Hunedoara
REPARATII ANDY & ANDREEA SRL HATEG,DMEG 8323,9512.71,9512.71,Hunedoara
REPARATII ANDY & ANDREEA SRL HATEG,DMEG 8603,6835.49,6835.49,Hunedoara
REPARATII ANDY & ANDREEA SRL HATEG,DMEG 8920,374.52,374.52,Hunedoara
ROM SINCRON SRL ALBA IULIA,DMEG 8242,432.76,46.38,Alba
ROM SINCRON SRL ALBA IULIA,DMEG 8665,656.44,656.44,Alba
ROM SINCRON SRL ALBA IULIA,DMEG 8734,142.41,142.41,Alba
ROM SINCRON SRL ALBA IULIA,DMEG 8798,409.44,409.44,Alba
ROM SINCRON SRL ALBA IULIA,DMEG 8811,461.93,461.93,Alba
ROM SINCRON SRL ALBA IULIA,DMEG 8840,146.88,146.88,Alba
ROM SINCRON SRL ALBA IULIA,DMEG 8968,804.28,804.28,Alba
ROTI BUNE TECH S.R.L. ALBA IULIA,DMEG 7894,1949.41,1583.6,Alba
SEIU GRUP S.R.L. ALBA IULIA,DMEG 8767,1120.58,1101.81,Alba
SEIU GRUP S.R.L. ALBA IULIA,DMEG 8836,356.1,356.1,Alba
SERCOM AGREGATE SRL OIEJDEA,DMEG 8659,3087.07,3087.07,Calin M (G8 En-Gros)
SERCOM AGREGATE SRL OIEJDEA,DMEGB 32,2644.48,2644.48,Calin (G7 Depozit)
SERCOM AGREGATE SRL OIEJDEA,DMEGB 83,2931.2,2931.2,Calin M (G8 En-Gros)
SERCOM AGREGATE SRL OIEJDEA,DMEGB 86,2741.2,2741.2,Calin M (G8 En-Gros)
SERVICE CONCEPT WEST EXPERT S.R.L. DEVA,DMEG 7721,3766.49,1067.86,Hunedoara
SERVICE CONCEPT WEST EXPERT S.R.L. DEVA,DMEG 7777,269.85,269.85,Hunedoara
SERVICE CONCEPT WEST EXPERT S.R.L. DEVA,DMEG 8016,733.35,733.35,Hunedoara
SERVICE CONCEPT WEST EXPERT S.R.L. DEVA,DMEG 8876,10808.11,10808.11,Hunedoara
SERVICE RIANA DRIVE SRL HUNEDOARA,DMEG 8803,2640.58,1889.67,Hunedoara
SERVICII AUTO GHITA SRL HUNEDOARA,DMEG 1032,4631.03,4631.03,Hunedoara
SERVICII AUTO GHITA SRL HUNEDOARA,DMEG 1033,1578.85,1578.85,Hunedoara
SHIRVANIAN GROUP S.R.L. ALBA IULIA,DMEG 8839,3745.59,3745.59,Alba
STAR AUTO MONI S.R.L. ORASTIE,DMEG 8831,1138.77,1138.77,Hunedoara
STAR AUTO MONI S.R.L. ORASTIE,DMEG 8865,1217.72,1217.72,Hunedoara
STAR AUTO MONI S.R.L. ORASTIE,DMEG 8889,706.5,706.5,Hunedoara
STOIA IULIU PERSOANA FIZICA AUTORIZ OCNA MURES,DMEG 3403,1893.52,551.6,Alba
TERMOCONS SRL CAMPENI,DMEG 8899,1414.7,1414.7,Alba
TERMOCONS SRL CAMPENI,DMEG 8949,1262.69,1262.69,Alba
THOR AUTO & MOTO S.R.L. HATEG,DMEG 4072,829.15,264.03,Hunedoara
THOR AUTO & MOTO S.R.L. HATEG,DMEG 4151,569.84,569.84,Hunedoara
THOR AUTO & MOTO S.R.L. HATEG,DMEG 4252,211.45,211.45,Hunedoara
THOR AUTO & MOTO S.R.L. HATEG,DMEG 4291,92.34,92.34,Hunedoara
THOR AUTO & MOTO S.R.L. HATEG,DMEG 4409,318.69,318.69,Hunedoara
THOR AUTO & MOTO S.R.L. HATEG,DMEG 4414,501.26,501.26,Hunedoara
TOMIFLEX LOGISTIC SRL ALBA IULIA,DMEG 8291,10514.78,10514.78,Alba
TOMIFLEX LOGISTIC SRL ALBA IULIA,DMEG 8303,1469.88,1469.88,Calin M (G8 En-Gros)
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8071,307.13,25.48,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8083,112.29,112.29,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8184,344.22,344.22,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8202,269.09,269.09,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8234,190.03,190.03,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8273,221.9,221.9,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8282,442.02,442.02,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8316,137.36,137.36,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8551,343.39,343.39,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8683,277.12,277.12,Alba
TOTAL FOCUS TRADE SRL ALBA IULIA,DMEG 8756,353.81,353.81,Alba
TRIFO AUTO SRL STREMT,DMEG 8883,556.46,556.46,Alba
UNIC APUSENI S.R.L. CAMPENI,DMEG 8870,188.76,188.76,Alba
UNIC APUSENI S.R.L. CAMPENI,DMEG 8971,706.71,706.71,Alba
UNIC SELECT SRL HUNEDOARA,DMEG 7231,467.36,9.48,Hunedoara
UNIC SELECT SRL HUNEDOARA,DMEG 7510,940.25,940.25,Hunedoara
UNIC SELECT SRL HUNEDOARA,DMEG 7714,5748.89,5748.89,Hunedoara
UNIC SELECT SRL HUNEDOARA,DMEG 7755,1213.63,1213.63,Hunedoara
UNIC SELECT SRL HUNEDOARA,DMEG 7885,798.91,798.91,Hunedoara
VENUS VANMOL S.R.L. ALBA IULIA,DMEG 7638,440.46,436.54,Alba
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8536,1810.19,692.04,Hunedoara
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8579,497.23,497.23,Hunedoara
